X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,CreationDate,Creator,EditDate,Editor
-77.2648106,38.94663176,3990,COLVIN RUN,ES,Elementary School,K-6,1400 TRAP RD,VIENNA,22182,https://colvinrunes.fcps.edu/,7037573000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.40458843,38.94637513,3991,MCNAIR,ES,Elementary School,K-2,2499 THOMAS JEFFERSON DR,HERNDON,20171,https://mcnaires.fcps.edu/,7037934800,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.41919329,38.95208561,3992,COATES,ES,Elementary School,K-6,2480 RIVER BIRCH RD,HERNDON,20171,https://coateses.fcps.edu/,7037133000,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.17461193,38.93534024,3993,FRANKLIN SHERMAN,ES,Elementary School,K-6,6633 BRAWNER ST,MCLEAN,22101,https://franklinshermanes.fcps.edu/,7035067900,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.22844097,38.93940674,3994,SPRING HILL,ES,Elementary School,K-6,8201 LEWINSVILLE RD,MCLEAN,22102,https://springhilles.fcps.edu/,7035063400,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.32022149,38.94027105,3995,SUNRISE VALLEY,ES,Elementary School,K-6,10824 CROSS SCHOOL RD,RESTON,20191,https://sunrisevalleyes.fcps.edu/,7037153800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.34297579,38.93673912,3996,TERRASET,ES,Elementary School,K-6,11411 RIDGE HEIGHTS RD,RESTON,20191,https://terrasetes.fcps.edu/,7033905600,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3614994,38.93222758,3997,HUNTERS WOODS,ES,Elementary School,K-6,2401 COLTS NECK RD,RESTON,20191,https://hunterswoodses.fcps.edu/,7032627400,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.37103241,38.94271068,3998,DOGWOOD,ES,Elementary School,K-6,12300 GLADE DR,RESTON,20191,https://dogwoodes.fcps.edu/,7032623100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.41439318,38.93569078,3999,FLORIS,ES,Elementary School,K-6,2708 CENTREVILLE RD,HERNDON,20171,https://florises.fcps.edu/,7035612900,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.15542615,38.91864634,4000,CHESTERBROOK,ES,Elementary School,K-6,1753 KIRBY RD,MCLEAN,22101,https://chesterbrookes.fcps.edu/,7037148200,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.17534739,38.92143375,4001,KENT GARDENS,ES,Elementary School,K-6,1717 MELBOURNE DR,MCLEAN,22101,https://kentgardenses.fcps.edu/,7033945600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.29222993,39.00150032,4002,GREAT FALLS,ES,Elementary School,K-6,701 WALKER RD,GREAT FALLS,22066,https://greatfallses.fcps.edu/,7037572100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.32830134,38.99357077,4003,FORESTVILLE,ES,Elementary School,K-6,1085 UTTERBACK STORE RD,GREAT FALLS,22066,https://forestvillees.fcps.edu/,7034046000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
