,census_bg,Total Area in acres,Total Land Area in acres,Tree Canopy in acres,Tree Canopy area in percent,Vegetation in acres,Vegetation Percentage,Building area in acres,Building area in percent,Total Impervious Area in acres,Total Impervious Area in percent,Road Acres,Road Area in percent,Sidewalk Area in acres,Sidewalk Area in percent,Other Impervious Area in acres,Other Impervious Area in percent,Surface Water Area in acres,Surface Water Area in percent,Soil area in acres,Soil area in percent,Urban Tree Canopy area in acres,Urban Tree Canopy area percent,Possible Vegetation Planting Area in acres,Possible Vegetation Planting Area in percent,Total Possible Planting Area in acres,Total Possible Planting Area in percent,Impervious Possible Planting Area in acres,Impervious Possible Planting Area in percent,Unsuitable Impervious Planting Buildings and Roads Area in acres,Unsuitable Impervious Planting Buildings and Roads Area in percent,Total Unsuitable Planting Area in acres,Total Unsuitable Planting Area in percent,Unsuitable Soil and Vegetation Area in acres,Unsuitable Soil and Vegetation Area in percent,Unsuitable Other Land Area in acres,Unsuitable Other Land Area in percent,SHAPEAREA,SHAPELEN,Geographic Area Name,Income in the past 12 months below poverty level,Median household income in the past 12 months,Total Population,Total Population of one race,Total White Population,Total African American Population,Total American Indian Population,Total Asian Population,Total Native Hawaiian Population,Total Population of Other Races
0,110010001004,287.26,166.02,92.93,55.97518371,5.89,3.54776533,31.54,18.99771112,67.01,40.36260691,17.43,10.49873509,9.74,5.86676304,8.3,4.99939766,121.25,42.20747438,0.17,0.10239730000000001,92.93,55.97518371,4.23,2.5478857999999995,20.56,12.38405011,16.33,9.83616432,48.41,29.15913745,52.56,31.65883628,0.17,0.10239730000000001,3.97,2.39127816,12511829.1961911,21554.2446298816,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",7,216513,,,,,,,,
1,110010002011,133.35,133.34,39.42,29.56352182,19.01,14.25678716,29.47,22.10139493,74.91,56.17969102,17.03,12.77186141,11.17,8.37708115,17.24,12.92935353,0.01,0.01000658,0.0,0.0,39.42,29.56352182,15.25,11.43692815,36.14,27.10364482,20.89,15.66671666,46.37,34.77576121,57.77,43.32533373,0.0,0.0,11.4,8.54957252,5807664.72050936,10661.9385897218,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",0,94605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110010002021,47.44,47.44,15.31,32.27234401,3.78,7.96795953,12.79,26.96037099,28.35,59.75969646,8.42,17.74873524,2.42,5.10118044,4.72,9.94940978,0.0,0.0,0.0,0.0,15.31,32.27234401,3.71,7.82040472,10.18,21.45868465,6.47,13.63827993,21.21,44.70910624,21.95,46.26897133,0.0,0.0,0.75,1.58094435,2066792.9654778,8808.711449988941,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",0,250000,1179.0,1094.0,935.0,43.0,5.0,98.0,0.0,13.0
3,110010002022,33.48,33.48,11.52,34.40860215,2.86,8.54241338,8.84,26.40382318,19.01,56.78016726,4.51,13.47072879,1.92,5.73476703,3.74,11.17084827,0.0,0.0,0.1,0.29868578,11.52,34.40860215,2.75,8.21385902,7.6,22.70011947,4.85,14.48626045,13.34,39.84468339,14.36,42.89127838,0.0,0.0,1.02,3.04659498,1458942.50630197,4940.845639570251,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",0,217056,775.0,719.0,646.0,13.0,1.0,47.0,0.0,12.0
4,110010002023,38.17,38.17,9.17,24.0241027,1.68,4.40136233,13.59,35.60387739,27.32,71.57453498,7.17,18.78438564,2.76,7.23080954,3.8,9.95546241,0.0,0.0,0.0,0.0,9.17,24.0241027,1.67,4.37516374,8.18,21.43044276,6.52,17.0814776,20.76,54.38826303,20.82,54.54545455,0.0,0.0,0.06,0.15719151,1662652.05562864,5300.31661129301,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",0,185465,926.0,848.0,757.0,24.0,3.0,50.0,0.0,14.0
5,110010006001,53.1,53.1,36.48,68.70056497,3.76,7.08097928,5.67,10.677966099999999,12.84,24.18079096,4.46,8.399246699999999,0.64,1.20527307,2.08,3.91713748,0.0,0.0,0.01,0.01883239,36.48,68.70056497,3.74,7.0433145,6.42,12.09039548,2.69,5.06591337,10.12,19.05838041,10.2,19.20903955,0.01,0.01883239,0.07,0.13182674,2312922.38241251,6943.86819859328,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",0,109716,1134.0,1025.0,860.0,98.0,0.0,48.0,0.0,19.0
6,110010002024,185.98,83.27,28.71,34.47820343,6.46,7.757896000000001,19.39,23.28569713,48.1,57.76390056,15.73,18.89035667,7.22,8.67058965,5.76,6.91725712,102.71,55.22558014,0.0,0.0,28.71,34.47820343,4.19,5.03182419,15.49,18.60213762,11.31,13.58232257,34.75,41.7317161,39.07,46.91965894,0.0,0.0,4.32,5.18794284,8099078.31399759,14648.3892160026,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",0,108603,1792.0,1617.0,1235.0,113.0,2.0,204.0,0.0,63.0
7,110010003001,61.81,61.81,21.39,34.6060508,10.14,16.40511244,12.47,20.17472901,30.27,48.97265815,10.08,16.30804077,1.99,3.21954376,5.74,9.28652322,0.0,0.0,0.0,0.0,21.39,34.6060508,10.09,16.32421938,17.47,28.26403495,7.39,11.95599418,22.55,36.48276978,22.95,37.12991425,0.0,0.0,0.39,0.63096586,2691791.95638615,8557.080237573191,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",0,145294,1392.0,1248.0,1043.0,42.0,4.0,114.0,3.0,42.0
8,110010003002,29.41,29.41,11.62,39.51037062,5.4,18.36110167,6.35,21.59129548,12.36,42.02652159,3.65,12.41074464,1.09,3.70622237,1.27,4.3182591,0.0,0.0,0.04,0.13600816,11.62,39.51037062,5.4,18.36110167,7.76,26.38558314,2.36,8.02448147,10.0,34.00204012,10.04,34.13804828,0.04,0.13600816,0.0,0.0,1280874.52768932,4562.17920981008,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",0,104119,1426.0,1287.0,989.0,114.0,8.0,129.0,2.0,45.0
9,110010003003,120.95,120.52,75.95,63.01858613,14.49,12.02290076,15.06,12.49585131,29.92,24.82575506,8.6,7.1357451,1.26,1.04546963,5.0,4.14868901,0.42,0.350389,0.15,0.12446067,75.95,63.01858613,12.53,10.39661467,18.0,14.93528045,5.47,4.53866578,23.66,19.63159642,26.57,22.04613342,0.15,0.12446067,2.76,2.29007634,5268112.66092474,11267.381793563602,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",0,203750,1696.0,1495.0,1269.0,54.0,1.0,144.0,0.0,27.0
10,110010003004,40.47,40.47,12.68,31.33185075,5.09,12.57721769,11.05,27.30417593,22.7,56.09093155,6.31,15.59179639,1.11,2.74277242,4.23,10.45218681,0.0,0.0,0.0,0.0,12.68,31.33185075,5.09,12.57721769,10.43,25.77217692,5.34,13.19495923,17.36,42.89597233,17.36,42.89597233,0.0,0.0,0.0,0.0,1762572.01678019,5481.21891111555,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",27,214071,1647.0,1523.0,1344.0,50.0,3.0,101.0,1.0,24.0
11,110010004001,132.64,132.64,56.08,42.27985525,16.3,12.28890229,17.01,12.82418577,60.27,45.43878166,19.0,14.32448733,5.66,4.26718938,18.6,14.02291918,0.0,0.0,0.0,0.0,56.08,42.27985525,15.92,12.00241255,29.47,22.21803378,13.55,10.21562123,35.79,26.98281062,47.1,35.50965018,0.0,0.0,11.31,8.52683957,5777580.05808195,10042.0950392739,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",7,250000,646.0,602.0,543.0,21.0,3.0,25.0,0.0,10.0
12,110010004002,245.77,245.73,140.33,57.10739429,36.37,14.80079762,23.72,9.65287104,68.28,27.78659504,28.9,11.76087576,5.0,2.03475359,10.66,4.33809466,0.04,0.0156846,0.75,0.30521304,140.33,57.10739429,34.85,14.18223253,49.69,20.22138119,14.84,6.03914866,52.61,21.40967729,55.72,22.67529402,0.2,0.08139014,2.91,1.18422659,10704710.0247873,16120.8262879704,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",12,113438,997.0,896.0,699.0,63.0,7.0,97.0,0.0,30.0
