OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,GID,TOTAL_AC,LAND_AC,T_CAN_AC,T_CAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_IA_AC,UN_IA_PCT,TO_UN_AC,TO_UN_PCT,UN_SL_AC,UN_SL_PCT,UN_OT_AC,UN_OT_PCT,WATER_AC,WATER_PCT,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,SHAPEAREA,SHAPELEN
1,11,001,000100,4034,110010001004034,1,0.11,0.08,0.08,100,0,0,0,0,0,0,0,0,0,0,0,0,0.03,27.11111111,0,0,0.08,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,27.11,0.01,100,0.05,100,0,0,4800.60370523867,648.498381948352
2,11,001,006202,1227,110010062021227,2,23.95,0.04,0.01,25,0,0,0,0,0.04,100,0.01,25,0,0,0.03,75,23.91,99.81946852,0,0,0.01,25,0,0,0.03,75,0.03,75,0.01,25,0.01,25,0,0,0,0,23.91,99.82,0,0,0,0,25,25,1043324.0544619,5185.51623150098
3,11,001,002600,2013,110010026002013,3,8.25,7.54,7.49,99.33687003,0.03,0.39787798,0,0,0.03,0.39787798,0.02,0.26525199,0,0,0,0,0.7,8.50515464,0,0,7.49,99.33687003,0.03,0.39787798,0.04,0.53050398,0.01,0.13262599,0.02,0.26525199,0.02,0.26525199,0,0,0,0,0.7,8.51,5.4,84.375,7.43,97.89196311,14.96187003,1.44490692,359080.030213641,6143.76816114811
4,11,001,000100,4046,110010001004046,4,11.91,0.24,0.13,54.16666667,0.01,4.16666667,0,0,0.1,41.66666667,0,0,0.04,16.66666667,0.07,29.16666667,11.67,97.99796685,0,0,0.13,54.16666667,0.01,4.16666667,0.11,45.83333333,0.1,41.66666667,0,0,0,0,0,0,0,0,11.67,97.99,0.04,100,0.14,100,-45.83333333,-45.83333333,518801.302932701,4075.08367838584
5,11,001,000100,4049,110010001004049,5,23.16,0.49,0.4,81.63265306,0.03,6.12244898,0,0,0.06,12.24489796,0,0,0.05,10.20408163,0.01,2.04081633,22.67,97.8718184,0,0,0.4,81.63265306,0.03,6.12244898,0.09,18.36734694,0.06,12.24489796,0,0,0,0,0,0,0,0,22.67,97.87,0.06,100,0.45,100,-18.36734694,-18.36734694,1009015.79446277,5869.58298532919
6,11,001,007808,3005,110010078083005,6,0.43,0.38,0.35,92.10526316,0,0,0,0,0.02,5.26315789,0.01,2.63157895,0.01,2.63157895,0,0,0.05,12.55760369,0,0,0.35,92.10526316,0,0,0.01,2.63157895,0.01,2.63157895,0.01,2.63157895,0.01,2.63157895,0,0,0,0,0.05,12.56,0.4,100,0.21,87.5,-7.89473684,4.60526316,18674.2207637841,2474.46398043905
7,11,001,002302,1011,110010023021011,7,9.93,8.52,4.61,54.10798122,3.26,38.2629108,0,0,0.65,7.62910798,0.61,7.15962441,0.02,0.23474178,0.02,0.23474178,1.41,14.22847188,0,0,4.61,54.10798122,3.26,38.2629108,3.29,38.61502347,0.04,0.46948357,0.62,7.27699531,0.62,7.27699531,0,0,0,0,1.41,14.23,4.69,55.70071259,5.61,65.15679443,-1.59273137,-11.0488132,432469.417292304,2608.33748168853
8,11,001,009604,1007,110010096041007,8,16.25,1.75,1.69,96.57142857,0.01,0.57142857,0,0,0.05,2.85714286,0.01,0.57142857,0,0,0.04,2.28571429,14.5,89.2322667,0,0,1.69,96.57142857,0.01,0.57142857,0.06,3.42857143,0.04,2.28571429,0.01,0.57142857,0.01,0.57142857,0,0,0,0,14.5,89.23,1.02,11.05092091,1.63,77.61904762,85.52050766,18.95238095,707782.160372885,5886.28444351534
9,11,001,010200,2032,110010102002032,9,0.88,0.01,0.01,100,0,0,0,0,0,0,0,0,0,0,0,0,0.87,98.54545455,0,0,0.01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,98.55,0,0,0.01,100,100,0,38497.3231926927,1245.66139410857
10,11,001,011100,3024,110010111003024,10,26.32,26.31,12.02,45.68605093,7.22,27.44203725,1.63,6.19536298,6.88,26.14975295,3.12,11.85860889,0.81,3.07867731,1.32,5.01710376,0,0.00563391,0.18,0.68415051,12.02,45.68605093,7.22,27.44203725,9.36,35.57582668,2.13,8.09578107,4.75,18.05397187,4.93,18.73812239,0.18,0.68415051,0,0,0,0.01,9.05,34.62127008,9.81,37.28620296,11.06478085,8.39984797,1146222.60141719,4396.61753142471
