"address","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","lon","lat","date","time_mil"
"2316 40th St NW, Washington, DC 20007","CE","GOOD",54,"GOOD","EK6780",FALSE,"WMEEJ3BA4DK625975",-77.07881,38.92134,2016-11-11 09:25:02,1478885102000
"7432 9th St NW, Washington, DC 20012, USA","CE","GOOD",50,"GOOD","R34157",TRUE,"WMEFJ5DA0GK139617",-77.02544,38.98079,2016-12-04 09:55:02,1480874102000
"1315-1317 Rhode Island Ave NW, Washington, DC 20005, USA","CE","GOOD",100,"GOOD","R33748",FALSE,"WMEEJ3BA4EK734955",-77.03107,38.90921,2016-11-30 07:20:02,1480519202000
"2840 28th St NW, Washington, DC 20008, USA","CE","GOOD",63,"GOOD","EW7210",FALSE,"WMEEJ3BA3EK770636",-77.05647,38.92755,2016-11-19 18:30:02,1479609002000
"4719 6th St NE, Washington, DC 20017, USA","CE","GOOD",15,"GOOD","EC6566",TRUE,"WMEFJ5DA1GK140291",-76.99907,38.94726,2016-11-11 12:00:02,1478894402000
"1524 A St NE, Washington, DC 20002, USA","CE","GOOD",53,"GOOD","R33795",TRUE,"WMEFJ5DA6GK139718",-76.9828,38.89102,2016-12-02 23:05:02,1480748702000
"1831 Gallaudet St NE, Washington, DC 20002, USA","CE","GOOD",39,"GOOD","FE7288",FALSE,"WMEEJ3BA5EK774008",-76.98681,38.91307,2016-11-21 01:15:03,1479719703000
"2100-2198 5th St NW, Washington, DC 20001, USA","CE","GOOD",50,"GOOD","EF6517",TRUE,"WMEFJ5DA7GK123866",-77.01899,38.91826,2016-11-13 10:25:02,1479061502000
"82 I St SE, Washington, DC 20003, USA","CE","GOOD",93,"GOOD","R34325",TRUE,"WMEFJ5DAXGK139348",-77.00488,38.87934,2016-11-23 07:25:03,1479914703000
"5109 F St SE, Washington, DC 20019, USA","CE","GOOD",60,"GOOD","EZ4211",FALSE,"WMEEJ3BA8EK766534",-76.92829,38.8815,2016-11-22 14:00:02,1479852002000
"2419-2439 39th St NW, Washington, DC 20007","CE","GOOD",78,"GOOD","EF6548",TRUE,"WMEFJ5DAXGK139382",-77.07701,38.92147,2016-11-09 17:50:02,1478742602000
"513-563 College St NW, Washington, DC 20059, USA","CE","GOOD",27,"GOOD","EZ4374",FALSE,"WMEEJ3BA6EK772221",-77.02031,38.92121,2016-11-14 17:20:02,1479172802000
"3206 11th Pl SE, Washington, DC 20032","CE","GOOD",59,"GOOD","R34428",TRUE,"WMEFJ5DA5GK125972",-76.99153,38.84365,2016-11-08 23:10:02,1478675402000
"5735 14th St NW, Washington, DC 20011, USA","CE","GOOD",27,"GOOD","R33750",FALSE,"WMEEJ3BA4EK734891",-77.03332,38.95977,2016-11-21 10:30:02,1479753002000
"2303 Ontario Rd NW, Washington, DC 20009, USA","CE","GOOD",45,"GOOD","EK6775",FALSE,"WMEEJ3BAXDK620554",-77.03975,38.92014,2016-11-19 03:15:02,1479554102000
"600 Farragut St NW, Washington, DC 20011, USA","CE","GOOD",48,"GOOD","EZ4224",FALSE,"WMEEJ3BA3EK764352",-77.02007,38.95098,2016-11-15 19:55:02,1479268502000
"415 20th St NE, Washington, DC 20002, USA","CE","GOOD",75,"GOOD","R34154",TRUE,"WMEFJ5DA7GK127481",-76.97618,38.89515,2016-12-02 09:20:03,1480699203000
"907 Quackenbos St NW, Washington, DC 20011","CE","GOOD",63,"GOOD","EZ4317",FALSE,"WMEEJ3BAXEK767295",-77.02727,38.96399,2016-11-10 01:25:02,1478769902000
