"event_id","name","description","group_id","group_name","start_time","end_time","utc_offset","venue_id","venue_name","venue_address","city","state","zip","lon","lat","yes_rsvp_count","location","geocoding_type"
"251370278"," Great Falls Concert on the Green - The Mike Terpak Blues Explosion","Come out with your picnic baskets and chairs for an entertaining evening of free live music in Great Falls This is the rescheduled show from June 3rd Food drink is allowed Music begins 6pm I usually arrive around 5 30pm Please come early to secure your seat 1st come 1st server Bring a chair Located in the same same plaza as The Old Brogue",1655741,"Live Shows VA / DC / MD Concerts Clubs",1535306400000,1535313600000,-14400000,24694650,"Great Falls Village Center","Georgetown Pike and Walker Road","Great Falls","VA",NA,-77.288429,38.998104,15,"Washington_DC",NA
"grwkflywmbnb","Review the basics update your knowledge test the theories have fun sparring","Traditional arnis in its root form no belts rankings are assigned according to your progress in skills involve fun in learning ",1112488,"Filipino Martial Arts - DMV area PINAKATAY ARNIS SIGIDAS ",1505044800000,1.505052e+12,-14400000,NA,NA,NA,NA,NA,NA,-77.0368707,38.9071923,4,"Washington_DC","City Based GeoCodes"
"djjlbpyxdbdb","First Friday Happy Hour Social Event","Enjoy a social You are welcome regardless of where you live Bring your friends enjoy the cash bar drinks and meet new people from all over the world No cover charge Please join us as at this exciting venue If you haven't joined us in a while then come on out and make some new friends TJ Flavell will be there to greet you Meet professionals in a variety of fields and industries We will meet in Pinzimini Lounge at the Westin Arlington Gateway The Lounge can be found directly across the lobby For this event casual business attire is encouraged The Westin Arlington Gateway is conveniently located near the Ballston Metro and parking is available at the Ballston Mall 1 parking for up to 3 hours Or park for free on the street This social is hosted by NOVA Gay and Lesbian Professionals A variety of LGBTQ professionals and allies from all over the DC area will be attending See you there See the Facebook page and invite your friends ",448079,"DC Gay Lesbian Professionals",1517596200000,1517603400000,-1.8e+07,874474,"Pinzimini at the Westin Hotel","801 N Glebe Road","Arlington","VA","22203",-77.114584,38.8808,6,"Washington_DC",NA
"244504614","Northern Virginia Software Symposium - Day 3","This conference will focus on the latest technologies and best practices emerging in the Java / JVM software development space Our speakers are authors consultants open source developers and recognized industry experts NFJS brings a high quality conference to your city making the event accessible not only to senior engineers but to the whole team Partner Event Agenda You must register to attend DataTorrent RTS is being actively used in big data cloud use cases relating to Financial services Fraud CyberSecurity AdTech IOT Energy Utilities Healthcare Telco Retail E Commerce etc To reduce time to market and total cost of ownership look at operable app factory You can quickly import and launch micro data services from this factory Examples HDFS to HDFS HDFS-Line-Copy back-up replication disaster-recovery distcp replacement continuous big data sync Kafka to HDFS ingest transform S3 to HDFS cloud to on-prem continuous big data cloud sync HDFS to Kafka data lake to event stream big data log streaming Database to HDFS db offload Database to Database change data capture customer 360 Kafka to Database ingest transform load Kinesis to S3 Cloud ingest transform load Data Preparation/Quality Scale out CEP Scale out OLAP Store and replay Machine scoring etc All micro data services include real-time dashboarding of real-time as well as historical metrics Community Manager of DataTorrent",19780434,"Big Data native Hadoop Ingest Transform Washington DC",1.509264e+12,1509298200000,-14400000,23542588,"Sheraton Reston Hotel","11810 Sunrise Valley Dr","Reston",NA,NA,-77.354256,38.949108,5,"Washington_DC",NA
"246650058"," Free Webinar Spotlight on SpiraTeam v5 4","Inflectra a software company invites you to a free webinar spotlighting new features and enhancements to Inflectra's Application Lifecycle Management ALM suite Spirateam The webinar will take place on Thursday February 1 2018 at 11 00 am Eastern Standard Time Please register now as space is limited Hope to see you at the webinar teamInflectra Important to know JOIN WEBEX MEETING number masked Meeting password D8B8h6JM JOIN BY PHONE masked Call-in toll number US/Canada masked Call-in toll free number US/Canada Global call-in numbers ",20869093,"Technology Innovation Inflectra DC",1517482800000,1517486400000,-1.8e+07,NA,NA,NA,NA,NA,NA,-77.0368707,38.9071923,10,"Washington_DC","City Based GeoCodes"
"236407661","Check In Share Networking Resources and Help Each Other Out ","This is a continuation of Mondays this meetup will occur every week provided the library is open At our next regular meetup we'll continue to give mutual encouragement by sharing resources doing check-ins and setting goals for the following week The location is the large meeting room on the second floor Come share your progress and ask questions January 9th Networking strategies and how not to burn bridges reputation ",19665512,"Arlington Job Search Meetup at Arlington Public Library",1483963200000,1483966800000,-1.8e+07,NA,NA,NA,NA,NA,NA,-77.0368707,38.9071923,12,"Washington_DC","City Based GeoCodes"
"fvgcwlywpbrb","Let's go for an EARLY run ","Bowie Meet 5 30 am at Starbucks 15480 Annapolis Rd in Bowie ",18686926,"Prince George's County Running Club",1.510551e+12,1510561800000,-1.8e+07,23914673,"Starbucks","15480 Annapolis Road","Bowie","MD","20716",-76.73529,38.97934,4,"Washington_DC",NA
"ttkdllywlbtb","Join us for Table Gaming play and learn games "," This meetup is for people that want to play table games board games strategy games episodic RPGs eurogames card games and co-operative games NOT A GAMER BUT WANT TO LEARN We teach them all We are open minded on all game Games we plan to teach and play include Ascension Backgammon Castallan Chess Variants Compounded Dead of Winters Crossroads Dixit Dominion Exploding Kittens Flux GravWell Ghost Stories Hanabi Heroquest RPG Hive House Divided House on the Hill Illuminati Ingenious King of Tokyo Lost Cities Machi Koro Munchkin Pandemic Pirate Dice Ogre/GEV Qwirkle Race for the Galaxy Roll Through The Ages Ricochet Robot RoboRally Settlers of Catan Sentinels of the Multiverse Splendor Spot-It Sushi-To-Go Takenoko Ticket to Ride Tsuro Up Front Wizards Card Game etc ",18739206,"Table Games Meetup",1502823600000,1502832600000,-14400000,23961838,"Wegmans","7905 Hilltop Village Center Dr","Alexandria","VA",NA,-77.073402,38.79187,9,"Washington_DC",NA
"240912919","Lathe Safety 101 Introduction to wood turning","Intended for people who have no prior experience in woodturning You will learn how to safely use the lathe and practice with some of the basic turning tools You won t become an expert with one course but I hope you will discover or rediscover that turning is fun and gives you a chance to be creative and make useful and interesting objects You will have the opportunity to complete a small project a ring holder like the ones shown below which is described in the Introduction to woodturning writeup on the Nova Labs wiki Once you take the course you will be signed off to use the wood lathe and can practice on your own during open shop hours or whenever you have access to the shop Nova Labs has two wood lathes so class size is limited to 2 people This allows for maximum hands-on time and one-on-one instruction We strongly advise makers who have have never this tool to help prevent injury to yourself and the tools to continue with supervised practice for at least one independent project after the class Come in on Woodshop Open Office Hours when experienced woodshop people can supervise you as you practice We call this a Makerquest and it is particularly important with Yellow and Red tools like this one Keep yourself and the shop safe Practice under supervision Cost includes 10/person for materials You will have a choice of hardwoods for your ring holder Prerequisites Nova Labs Green Orientation GO Safety Mandatory Wear closed-toed shoes short sleeves and eye protection bring yours or use ours Optional we have some you can use if needed Hearing protection particle filter or dust mask",3629072,"NOVA Makers",1498762800000,1498777200000,-14400000,23818129," Nova Labs Conference Rm 3 ","1916 Issac Newton Sq West","Reston","VA",NA,-77.33886,38.954105,3,"Washington_DC",NA
"dhbtrnyxgbmc"," let our dogs play together ","When Every Sunday weather permitting Where masked th Street NW Washington DC 20001 Shaw Dog Park small dog side Time 11 00 am -1 00 pm We will meet every Sunday the Shaw Dog Park small dog area for socializing play and fun 100 of your 2 50 Donation of will go towards the Shaw Dog Park fund See Details in link Below a href ",25585546,"Small Dog Meet Up - Shaw Dog Park NW DC",1524999600000,1525010400000,-14400000,25443158,"Shaw Dog Park","1673 11th Street Northwest","Washington",NA,NA,-77.026405,38.911724,7,"Washington_DC",NA
"lfblwmywlbhb","Real Estate Investing and Wealth Development Education","During this meetup we cover different aspect of real estate investing and wealth development such as the 5 steps to a fix and flip Foreclosures Shortsales Tax Deeds/Liens Raising private capital or Establishing your essentials team for investing We also cover how Velocity Banking works to pay off ANY mortgage in 7-10 years pay off all debt in 3-5 years and create a true retirement plan with 100 000/yr passive income WITHOUT changing your income monthly cash flow or amount of debt YOU WON'T WANT TO MISS THIS In addition we cover the different aspects of our nationwide real estate investing community and local team of real estate investors So come join us to learn and network at either of our next meetings on Thursday nights or Saturday afternoons See you there ",18511666,"Washington DC Entrepreneur/Investor Networking Meetup",1501933500000,1501941600000,-14400000,25020942,"DC Stars REI","5105E Backlick Rd","Annandale","VA",NA,-77.185639,38.813832,8,"Washington_DC","EVDB Geocoder"
"hckdcnywkbdc","Tennis lessons for intermediates Serves practice ","ALL MEETUPS ARE SUBJECT TO LAST HOUR CHANGES Dynamic Serves technique to warm up Practice of all the basics strokes forehand backhand volleys and serve Game situations to practice strokes during points and to understand the basics of the game Intermediate level Have taken lesson and played before but not too often Technically are able to hit serves consistently in the court and are able to rally with fluent forehand or backhands with players or their same level Have basic knowledge of volley and can rally Tactically can place and hit tennis balls across court and down the line and also have variation on power and height Intermediate lesson are focus on improving consistency control and placement on court while improving footwork Steps for morning group lessons 1 -RSVP YES if you are coming to secure your spot on the lesson Update RSVP to NO at least 24 hrs in advance if you are not attending 2 -Make sure you RSVP for the lesson according to your level if I don't think you belong to the lesson I might change you RSVP to the right level I hope everyone understands 1 -1 Person policy If only one person RSVP for a group lesson that automatically will be cancel Minimum requirement will be 2 people When the lessons is cancel I will regroup that person and change their RSVP so they can come for the next group hour only if they have the right level for the next lesson If a lesson is cancel due to a one person policy that person has the option to make it a private lesson 30 Thanks for your support PAYMENTS METHODS 1 CASH 2 -VENMO CHARLYMEZA OR masked 3 -PAYPAL masked OR masked MAKE SURE YOU SEND PAYMENT TO A FRIEND Note Please send me a message or text me to masked if have questions ",16867172,"Charly's DMV Tennis Lessons",1.500714e+12,1500717600000,-14400000,1153016,"Carver Rec Center","1415 S Queen Street","Arlington","VA","22204",-77.072492,38.860959,9,"Washington_DC",NA
