"","X","SEZ2011","dep_class_7.x","rand_base","density","spatial_lag","spatial_lag_square","dep11.x","dep01.x","calls","entropy","eigen_cent","page_rank","region_based_rate","commercial","third_places","comm_service","closeness","betweenness","dep01.y","dep11.y","dep_class_3","dep_class_5","dep_class_7"
"1",1,151460005984,2,-0.836856,0.022078,0.071085,0.140628,-1.393385,-1.324543,12737.02593,0.823603,0.000272,4.8e-05,0.002732,NA,NA,NA,2.76001199633069e-09,461240.743938043,-1.32454325931261,-1.39338494541467,"2","3","3"
"2",2,151460001209,2,-1.017954,0.012927,-0.947512,-0.947592,0.526878,-0.947592,15541.067707,0.835377,0.000409,5.8e-05,0.002887,2.091927,0,0,2.74920747992519e-09,431098.219703236,-0.947592419312684,0.526877828301336,"2","3","5"
"3",3,151460001062,2,-0.890665,0.031651,0.063341,0.115953,-1.086725,-1.073449,52988.504251,0.830825,0.001848,0.000153,0.008937,NA,NA,NA,2.72768448839343e-09,818421.776885443,-1.07344880160085,-1.08672493463941,"2","3","4"
"4",4,151460005439,2,0.477345,0.016847,0.482888,0.482927,-0.949276,0.482927,52701.041128,0.846222,0.001642,0.000138,0.005698,NA,NA,NA,2.97591869889484e-09,1420939.59759388,0.482926644682139,-0.949275717999265,"2","3","4"
"5",5,151460000748,2,-0.947706,0.046591,0.070053,0.027084,-1.022147,-0.916067,38631.330736,0.828329,0.0018,0.000135,0.009758,NA,NA,NA,3.084910145578e-09,971341.700905999,-0.91606749032932,-1.02214666408603,"2","3","4"
"6",6,151460005959,2,0.505976,0.000164,2.427047,2.427307,2.031134,2.427307,96729.002718,0.813093,0.002126,0.000227,0.019208,NA,NA,NA,2.68936730710314e-09,716141.751269099,2.4273066468481,2.03113445596078,"2","4","6"
"7",7,151460000961,2,0.981383,0.016823,0.060965,-0.014617,-1.35448,-1.129687,73613.803757,0.839294,0.003827,0.000201,0.006335,NA,NA,NA,3.09507387651772e-09,1124264.32613317,-1.12968664787979,-1.35447955931451,"2","3","3"
"8",8,151460001089,2,-1.615208,0.003519,0.052859,-0.359537,1.760344,-0.05749,16452.473304,0.815262,0.000344,6.3e-05,0.002334,NA,NA,NA,2.71500285025024e-09,681085.179600432,-0.05749017894592,1.76034355221277,"2","3","5"
"9",9,151460001070,2,-0.692085,0.039838,0.047078,0.054888,-0.890891,-0.831839,28105.624095,0.818231,0.001053,0.000101,0.005533,0,0,0,2.85698459874039e-09,658479.060333952,-0.831839017773652,-0.890890763158985,"2","3","4"
"10",10,151460001040,2,0.007534,0.021147,0.072441,0.080773,0.642402,0.637658,26493.111909,0.79611,0.000569,8.3e-05,0.006789,NA,NA,NA,2.83025009914034e-09,1099274.72597086,0.637658011606894,0.642401713552296,"2","3","5"
"11",11,151460000939,2,0.088753,0.001114,1.740791,1.740977,-1.333338,1.740977,73967.435137,0.848082,0.002032,0.000195,0.009197,0.180162,0.140986,1.491985,2.28774908206416e-09,611933.196669574,1.74097696101019,-1.33333846743848,"2","3","3"
"12",12,151460000810,2,0.375096,0.000108,0.064025,-0.046336,2.031134,NA,35084.342413,0.852021,0.00195,0.000111,0.004521,NA,NA,NA,2.74300690458574e-09,628140.447338051,NA,2.03113445596078,"2","4","6"
"13",13,151460001066,2,0.393693,0.011934,-0.916459,-0.91654,-1.142599,-0.91654,79447.369043,0.829652,0.00303,0.000222,0.010825,0,0.422958,0,2.81690254827761e-09,931658.196291513,-0.916539705515236,-1.14259864714421,"2","3","4"
"14",14,151460001231,2,0.09023,0.01189,0.047485,-0.193416,-1.18671,-0.975935,12075.640636,0.82032,0.00025,4.5e-05,0.00325,NA,NA,NA,2.51369168460236e-09,319762.997930743,-0.975935136909665,-1.1867102382026,"2","3","3"
"15",15,151460001184,2,-0.761891,0.011737,0.018934,-0.712763,-0.876802,-0.84784,8966.092422,0.872214,0.000179,4.2e-05,0.000905,NA,NA,NA,2.74488153235697e-09,566624.197493451,-0.847840063492016,-0.87680193199186,"2","3","4"
"16",16,151460005897,2,0.551593,0.015686,0.058679,0.041064,-1.624712,-1.54562,54112.853478,0.799654,0.001381,0.000163,0.013602,0,0,0,2.8682784453477e-09,609464.632540702,-1.54562003387577,-1.62471202088179,"2","2","2"
"17",17,151460000964,2,0.507478,0.034253,0.067579,0.129671,-1.210775,-0.945996,33267.42445,0.833983,0.001787,0.000105,0.003787,NA,NA,NA,3.01768958328336e-09,1768547.24324368,-0.945996260779803,-1.21077482768744,"2","3","3"
"18",18,151460001018,2,1.457862,0.024402,-1.154701,-1.154841,-1.200311,-1.154841,44590.39563,0.830711,0.002121,0.000134,0.005222,0,0.845917,0,3.07028404240266e-09,1161732.34255945,-1.15484128395085,-1.20031079619859,"2","3","3"
"19",19,151460000942,2,0.019999,0.002701,0.07542,0.183449,0.354329,0.340787,34585.87738,0.833769,0.00131,0.000107,0.003802,NA,NA,NA,2.72306950630532e-09,788603.056063378,0.340787100738044,0.354328515435169,"2","3","4"
"20",20,151460001189,2,0.166709,0.004811,0.06177,0.038639,0.279955,NA,5680.000131,0.833867,0.000137,3.7e-05,0.001865,NA,NA,NA,2.77362972485726e-09,395967.412193318,NA,0.279954801919515,"2","3","4"
"21",21,151460005915,2,-0.070758,0.04257,0.045067,-0.012502,-1.511125,-1.453212,9760.203431,0.816506,0.000279,4.8e-05,0.001412,NA,NA,NA,2.82189762380033e-09,706495.510230037,-1.45321176324983,-1.51112455311164,"2","2","2"
"22",22,151460001138,NA,-2.078304,0,0.040797,-0.438987,NA,NA,15407.649472,0.821936,0.00029,6.3e-05,0.005019,0,0,0,2.41134417385482e-09,332273.473772116,NA,NA,NA,NA,NA
"23",23,151460000828,2,-1.388842,0.036574,0.059408,-0.051234,-0.901507,0.491116,51546.14189,0.860903,0.003872,0.000151,0.007616,NA,NA,NA,3.11723090957047e-09,1434349.65234212,0.491116101191627,-0.901506763033073,"2","3","4"
"24",24,151460006021,2,1.184735,0.008043,0.062903,0.025807,-1.235983,0.182578,34995.566088,0.825673,0.000932,0.000105,0.005202,NA,NA,NA,2.65209993546016e-09,826597.933515181,0.18257803244282,-1.23598331442378,"2","3","3"
"25",25,151460000945,2,-0.453333,0.011903,0.108209,0.745473,-1.030525,0.61869,11836.222216,0.825354,0.000573,5.3e-05,0.001732,NA,NA,NA,2.75664714519146e-09,558870.184817895,0.618689511379562,-1.03052480796526,"2","3","4"
"26",26,151460001050,2,-0.352734,0.008345,0.089183,0.098502,0.38798,NA,63283.144297,0.818762,0.002006,0.000169,0.010128,NA,NA,NA,2.72712806148367e-09,672429.537213656,NA,0.387979589800394,"2","3","4"
"27",27,151460000746,2,-0.17844,0.000132,0.045518,-0.100497,-0.584061,1.390124,125260.765568,0.848979,0.005628,0.000361,0.017847,0,12.099174,0,3.16067532131612e-09,1593995.85456602,1.39012382028123,-0.584060993445758,"2","3","4"
"28",28,151460001344,2,0.682961,0.029325,0.065828,0.055697,-1.10684,0.208616,86735.694017,0.824645,0.003332,0.000239,0.011853,6.079662,1.57504,0,2.70030157907812e-09,1740579.00551571,0.208615715563616,-1.10683986902684,"2","3","4"
"29",29,151460000820,2,-0.483426,0.028923,-0.581637,-0.581689,-0.757772,-0.581689,62928.507225,0.860923,0.004722,0.000179,0.00931,NA,NA,NA,3.09142407796642e-09,1408860.75229559,-0.58168936349172,-0.757772420474441,"2","3","4"
"30",30,151460005431,2,0.227345,0.026297,0.06429,0.101125,-1.144695,-0.88575,39587.698063,0.845153,0.001422,0.000127,0.004432,NA,NA,NA,3.04767801435151e-09,800370.412854748,-0.885750186204498,-1.14469506966979,"2","3","4"
"31",31,151460005910,2,0.08202,0.046793,0.078368,0.162632,0.510401,0.332564,13210.027849,0.833715,0.000435,5.9e-05,0.001721,NA,NA,NA,2.928121338576e-09,655371.813415462,0.33256389881292,0.51040128917832,"2","3","4"
"32",32,151460000771,2,0.390967,0.010232,0.041122,-0.371514,2.050533,2.077153,6187.150098,0.868757,0.000293,4e-05,0.000654,0,0,0,NA,NA,2.07715262533901,2.05053334137914,"2","4","6"
"33",33,151460001233,2,0.467287,0.001603,0.046033,-0.034775,1.88706,0.290729,72854.37003,0.784329,0.00136,0.000152,0.033328,0,1.153967,0,2.38545521467875e-09,271328.214608222,0.29072916342241,1.88706015031567,"2","3","5"
"34",34,151460005441,2,0.962016,0.033887,0.073758,-0.407718,0.317131,-0.825576,31999.333573,0.851758,0.001023,9.5e-05,0.002846,NA,NA,NA,2.96755137454033e-09,1633900.46112743,-0.825575824282898,0.317131249870232,"2","3","4"
"35",35,151460000934,2,0.052224,0.020633,0.074825,0.082292,0.330144,-0.933956,24064.586694,0.815153,0.000915,7.6e-05,0.003341,NA,NA,NA,2.39608857508045e-09,771060.769447642,-0.9339564667833,0.330143999892454,"2","3","4"
