"","k3.cluster"
"150090000023",2
"150090000103",2
"150110000016",1
"150110000030",3
"150270000057",1
"150320000021",3
"150320000022",3
"150320000023",3
"150320000024",3
"150320000025",3
"150320000026",3
"150320000027",3
"150320000028",3
"150320000029",3
"150320000034",3
"150320000035",3
"150320000036",3
"150320000037",3
"150320000038",3
"150320000059",3
"150320000102",3
"150320000104",3
"150320000105",3
"150320000106",3
"150320000107",3
"150360000032",3
"150740000018",3
"150740000027",3
"150740000035",3
"150740000058",3
"150740000060",3
"150740000061",3
"150810000264",2
"150810000265",2
"150810000268",2
"150810000269",1
"150810000270",1
"150810000271",1
"150810000272",1
"150860000016",1
"150860000020",1
"150860000021",3
"150860000052",1
"150930000138",1
"150930000139",1
"150970000043",3
"150970000054",3
"150970000056",3
"151460000001",1
"151460000002",1
"151460000003",2
"151460000004",2
"151460000005",1
"151460000006",1
"151460000007",1
"151460000008",1
"151460000009",1
"151460000010",1
"151460000011",1
"151460000012",2
"151460000013",2
"151460000014",2
"151460000015",2
"151460000016",2
"151460000017",2
"151460000018",2
"151460000019",2
"151460000020",2
"151460000021",2
"151460000022",2
"151460000023",2
"151460000024",2
"151460000025",2
"151460000026",2
"151460000027",1
"151460000028",1
"151460000029",2
"151460000030",2
"151460000031",2
"151460000032",2
"151460000033",2
"151460000034",2
"151460000035",2
"151460000036",2
"151460000037",2
"151460000038",2
"151460000039",2
"151460000040",2
"151460000041",2
"151460000042",2
"151460000043",2
"151460000044",2
"151460000045",2
"151460000046",2
"151460000047",1
"151460000048",1
"151460000049",1
"151460000050",3
"151460000051",3
"151460000052",1
"151460000053",2
"151460000054",1
"151460000055",3
"151460000056",1
"151460000057",1
"151460000058",2
"151460000059",2
"151460000060",2
"151460000061",2
"151460000062",2
"151460000063",2
"151460000064",2
"151460000065",2
"151460000066",2
"151460000067",1
"151460000068",3
"151460000069",2
"151460000070",1
"151460000071",1
"151460000072",1
"151460000073",2
"151460000074",1
"151460000075",1
"151460000076",2
"151460000077",2
"151460000078",2
"151460000079",2
"151460000080",2
"151460000081",2
"151460000082",2
"151460000083",2
"151460000084",2
"151460000085",2
"151460000086",2
"151460000087",2
"151460000088",2
"151460000089",2
"151460000090",2
"151460000091",2
"151460000092",2
"151460000093",2
"151460000094",2
"151460000095",2
"151460000096",2
"151460000097",2
"151460000098",2
"151460000099",2
"151460000100",2
"151460000101",2
"151460000102",2
"151460000103",1
"151460000104",1
"151460000105",2
"151460000106",2
"151460000107",2
"151460000108",2
"151460000109",2
"151460000110",2
"151460000111",2
"151460000112",2
"151460000113",2
"151460000114",2
"151460000115",1
"151460000116",1
"151460000117",1
"151460000118",1
"151460000119",1
"151460000120",1
"151460000121",1
"151460000122",1
"151460000123",1
"151460000124",1
"151460000125",1
"151460000126",1
"151460000127",1
"151460000128",1
"151460000129",1
"151460000130",1
"151460000131",1
"151460000132",1
"151460000133",2
"151460000134",1
"151460000135",2
"151460000136",2
"151460000137",2
"151460000138",2
"151460000139",2
"151460000140",2
"151460000141",1
"151460000142",2
"151460000143",2
"151460000144",1
"151460000145",2
"151460000146",2
"151460000147",2
"151460000148",2
"151460000149",2
"151460000150",2
"151460000151",2
"151460000152",2
"151460000153",2
"151460000154",2
"151460000155",2
"151460000156",2
"151460000157",2
"151460000158",2
"151460000159",2
"151460000160",2
"151460000161",2
"151460000162",2
"151460000163",2
"151460000164",2
"151460000165",2
"151460000166",2
"151460000167",2
"151460000168",2
"151460000169",2
"151460000170",2
"151460000171",2
"151460000172",2
"151460000173",2
"151460000174",2
"151460000175",2
"151460000176",2
"151460000177",2
"151460000178",2
"151460000179",2
"151460000180",2
"151460000181",2
"151460000182",2
"151460000183",2
"151460000184",2
"151460000185",2
"151460000186",2
"151460000187",2
"151460000188",2
"151460000189",2
"151460000190",2
"151460000191",2
"151460000192",2
"151460000193",2
"151460000194",2
"151460000195",2
"151460000196",2
"151460000197",2
"151460000198",2
"151460000199",2
"151460000200",2
"151460000201",2
"151460000202",2
"151460000203",2
"151460000204",2
"151460000205",2
"151460000206",2
"151460000207",2
"151460000208",2
"151460000209",2
"151460000210",2
"151460000211",2
"151460000212",2
"151460000213",2
"151460000214",2
"151460000215",2
"151460000216",2
"151460000217",2
"151460000218",2
"151460000219",2
"151460000220",2
"151460000221",1
"151460000222",2
"151460000223",2
"151460000224",2
"151460000225",2
"151460000226",2
"151460000227",1
"151460000228",2
"151460000229",1
"151460000230",2
"151460000231",2
"151460000232",1
"151460000233",1
"151460000234",1
"151460000235",1
"151460000236",1
"151460000237",1
"151460000238",1
"151460000239",1
"151460000240",1
"151460000241",1
"151460000242",2
"151460000243",2
"151460000244",1
"151460000245",1
"151460000246",2
"151460000247",2
"151460000248",2
"151460000249",2
"151460000250",2
"151460000251",2
"151460000252",2
"151460000253",1
"151460000254",2
"151460000255",2
"151460000256",2
"151460000257",2
"151460000258",2
"151460000259",2
"151460000260",2
"151460000261",2
"151460000262",2
"151460000263",2
"151460000264",2
"151460000265",2
"151460000266",2
"151460000267",2
"151460000268",2
"151460000269",2
"151460000270",2
"151460000271",2
"151460000272",2
"151460000273",2
"151460000274",2
"151460000275",2
