address,engineType,exterior,fuel,interior,name,smartPhoneRequired,vin,lon,lat,date,time_mil
"2316 40th St NW, Washington, DC 20007",CE,GOOD,54,GOOD,EK6780,FALSE,WMEEJ3BA4DK625975,-77.07881,38.92134,11/11/2016 9:25,1.47889E+12
"7432 9th St NW, Washington, DC 20012, USA",CE,GOOD,50,GOOD,R34157,TRUE,WMEFJ5DA0GK139617,-77.02544,38.98079,12/4/2016 9:55,1.48087E+12
"1315-1317 Rhode Island Ave NW, Washington, DC 20005, USA",CE,GOOD,100,GOOD,R33748,FALSE,WMEEJ3BA4EK734955,-77.03107,38.90921,11/30/2016 7:20,1.48052E+12
"2840 28th St NW, Washington, DC 20008, USA",CE,GOOD,63,GOOD,EW7210,FALSE,WMEEJ3BA3EK770636,-77.05647,38.92755,11/19/2016 18:30,1.47961E+12
"4719 6th St NE, Washington, DC 20017, USA",CE,GOOD,15,GOOD,EC6566,TRUE,WMEFJ5DA1GK140291,-76.99907,38.94726,11/11/2016 12:00,1.47889E+12
"1524 A St NE, Washington, DC 20002, USA",CE,GOOD,53,GOOD,R33795,TRUE,WMEFJ5DA6GK139718,-76.9828,38.89102,12/2/2016 23:05,1.48075E+12
"1831 Gallaudet St NE, Washington, DC 20002, USA",CE,GOOD,39,GOOD,FE7288,FALSE,WMEEJ3BA5EK774008,-76.98681,38.91307,11/21/2016 1:15,1.47972E+12
"2100-2198 5th St NW, Washington, DC 20001, USA",CE,GOOD,50,GOOD,EF6517,TRUE,WMEFJ5DA7GK123866,-77.01899,38.91826,11/13/2016 10:25,1.47906E+12
"82 I St SE, Washington, DC 20003, USA",CE,GOOD,93,GOOD,R34325,TRUE,WMEFJ5DAXGK139348,-77.00488,38.87934,11/23/2016 7:25,1.47991E+12
"5109 F St SE, Washington, DC 20019, USA",CE,GOOD,60,GOOD,EZ4211,FALSE,WMEEJ3BA8EK766534,-76.92829,38.8815,11/22/2016 14:00,1.47985E+12
"2419-2439 39th St NW, Washington, DC 20007",CE,GOOD,78,GOOD,EF6548,TRUE,WMEFJ5DAXGK139382,-77.07701,38.92147,11/9/2016 17:50,1.47874E+12
"513-563 College St NW, Washington, DC 20059, USA",CE,GOOD,27,GOOD,EZ4374,FALSE,WMEEJ3BA6EK772221,-77.02031,38.92121,11/14/2016 17:20,1.47917E+12
"3206 11th Pl SE, Washington, DC 20032",CE,GOOD,59,GOOD,R34428,TRUE,WMEFJ5DA5GK125972,-76.99153,38.84365,11/8/2016 23:10,1.47868E+12
"5735 14th St NW, Washington, DC 20011, USA",CE,GOOD,27,GOOD,R33750,FALSE,WMEEJ3BA4EK734891,-77.03332,38.95977,11/21/2016 10:30,1.47975E+12
"2303 Ontario Rd NW, Washington, DC 20009, USA",CE,GOOD,45,GOOD,EK6775,FALSE,WMEEJ3BAXDK620554,-77.03975,38.92014,11/19/2016 3:15,1.47955E+12
"600 Farragut St NW, Washington, DC 20011, USA",CE,GOOD,48,GOOD,EZ4224,FALSE,WMEEJ3BA3EK764352,-77.02007,38.95098,11/15/2016 19:55,1.47927E+12
"415 20th St NE, Washington, DC 20002, USA",CE,GOOD,75,GOOD,R34154,TRUE,WMEFJ5DA7GK127481,-76.97618,38.89515,12/2/2016 9:20,1.4807E+12
"907 Quackenbos St NW, Washington, DC 20011",CE,GOOD,63,GOOD,EZ4317,FALSE,WMEEJ3BAXEK767295,-77.02727,38.96399,11/10/2016 1:25,1.47877E+12
"1125 4th St NE, Washington, DC 20002, USA",CE,GOOD,42,GOOD,EU6661,FALSE,WMEEJ3BA5EK748525,-77.00053,38.90445,11/13/2016 22:05,1.4791E+12
"5803 16th St N, Arlington, VA 22205, USA",CE,GOOD,46,GOOD,EC6568,TRUE,WMEFJ5DA7GK125343,-77.13843,38.88561,11/25/2016 16:35,1.48012E+12
"3212-3280 Fairfax Dr, Arlington, VA 22201, USA",CE,GOOD,48,GOOD,EZ4324,FALSE,WMEEJ3BAXEK762968,-77.09811,38.8855,11/26/2016 9:15,1.48018E+12
"3117-3119 38th St NW, Washington, DC 20016, USA",CE,GOOD,33,GOOD,R34022,FALSE,WMEEJ3BA1EK736775,-77.07445,38.93061,11/11/2016 13:10,1.4789E+12
"100-198 Massachusetts Ave NW, Washington, DC 20001",CE,GOOD,100,GOOD,EW7157,FALSE,WMEEJ3BA7EK764614,-77.01305,38.89898,11/8/2016 8:00,1.47862E+12
"801 Crittenden St NW, Washington, DC 20011, USA",CE,GOOD,60,GOOD,EZ4354,FALSE,WMEEJ3BA3EK773858,-77.02388,38.94729,11/28/2016 0:55,1.48032E+12
"4116 18th St NW, Washington, DC 20011, USA",CE,GOOD,33,GOOD,EW7180,FALSE,WMEEJ3BA9EK753517,-77.04131,38.94127,11/29/2016 11:20,1.48045E+12
"2052 West Virginia Ave NE, Washington, DC 20002, USA",CE,GOOD,43,GOOD,R33794,TRUE,WMEFJ5DA6GK140884,-76.98116,38.91467,11/22/2016 13:35,1.47985E+12
"1870-1874 California St NW, Washington, DC 20009",CE,GOOD,48,GOOD,EU6689,FALSE,WMEEJ3BA0EK763112,-77.0439,38.91786,11/8/2016 23:25,1.47868E+12
"20 Bryant St NW, Washington, DC 20001, USA",CE,GOOD,48,GOOD,EZ4303,FALSE,WMEEJ3BAXEK757267,-77.01005,38.92128,12/2/2016 21:30,1.48074E+12
"1873-1881 N Highland St, Arlington, VA 22201, USA",CE,GOOD,66,GOOD,R34003,FALSE,WMEEJ3BA6EK734052,-77.0943,38.89407,11/19/2016 0:05,1.47954E+12
"2416 10th St NE, Washington, DC 20018, USA",CE,GOOD,53,GOOD,EF6573,TRUE,WMEFJ5DAXGK139074,-76.9925,38.92213,11/14/2016 12:00,1.47915E+12
"2607 Monroe St NE, Washington, DC 20018, USA",CE,GOOD,56,GOOD,R33798,TRUE,WMEFJ5DA6GK125530,-76.96962,38.9331,11/26/2016 4:15,1.48016E+12
"906 I St NW, Washington, DC 20001, USA",CE,GOOD,60,GOOD,EZ4232,FALSE,WMEEJ3BA6EK766497,-77.02435,38.90093,12/3/2016 5:50,1.48077E+12
"3204-3206 Rowland Pl NW, Washington, DC 20008",CE,GOOD,42,GOOD,EZ4368,FALSE,WMEEJ3BA6EK775118,-77.06389,38.93799,11/8/2016 19:15,1.47866E+12
"5022 V St NW, Washington, DC 20007, USA",CE,GOOD,60,GOOD,R34009,FALSE,WMEEJ3BA7EK733752,-77.09801,38.91713,11/21/2016 8:05,1.47974E+12
"6235 North Dakota Ave NW, Washington, DC 20011, USA",CE,GOOD,33,GOOD,R34010,FALSE,WMEEJ3BAXEK733745,-77.01573,38.96592,11/17/2016 10:35,1.47941E+12
"5151-5299 36th St NW, Washington, DC, USA",CE,GOOD,53,GOOD,EC6518,TRUE,WMEFJ5DA8GK125867,-77.0686,38.95608,11/26/2016 16:00,1.4802E+12
"117 Varnum St NE, Washington, DC 20011, USA",CE,GOOD,84,GOOD,FB1845,TRUE,WMEFJ5DA0GK125314,-77.00472,38.94284,11/17/2016 1:05,1.47937E+12
"4600 S Four Mile Run Dr, Arlington, VA 22204, USA",CE,GOOD,96,GOOD,R34051,FALSE,WMEEJ3BA6EK733726,-77.10729,38.85526,11/24/2016 5:55,1.48E+12
"5011 46th St NW, Washington, DC 20016, USA",CE,GOOD,90,GOOD,EF6669,FALSE,WMEEJ3BA4EK766885,-77.09057,38.95492,11/23/2016 18:15,1.47995E+12
"1210-1214 Meigs Pl NE, Washington, DC 20002, USA",CE,GOOD,42,GOOD,EK6780,FALSE,WMEEJ3BA4DK625975,-76.9856,38.90806,11/11/2016 21:10,1.47893E+12
"2315 S Grant St, Arlington, VA 22202, USA",CE,GOOD,54,GOOD,R34050,FALSE,WMEEJ3BA7EK737641,-77.05754,38.85313,11/25/2016 19:45,1.48013E+12
"1605 N Colonial Terrace, Arlington, VA 22209, USA",CE,GOOD,96,GOOD,R34135,TRUE,WMEFJ5DAXGK139933,-77.07632,38.89793,11/14/2016 17:45,1.47917E+12
"2229-2311 Virginia Ave NW, Washington, DC 20037, USA",CE,GOOD,100,GOOD,EW7142,FALSE,WMEEJ3BA0EK770769,-77.05044,38.89745,11/15/2016 11:10,1.47924E+12
"2-60 S George Mason Dr, Arlington, VA 22204",CE,GOOD,42,GOOD,R34059,FALSE,WMEEJ3BA1EK733293,-77.10713,38.8678,11/11/2016 0:05,1.47885E+12
"1360-1398 N Fort Myer Dr, Arlington, VA 22209, USA",CE,GOOD,30,GOOD,EZ4246,FALSE,WMEEJ3BAXEK770620,-77.07462,38.89016,11/24/2016 23:35,1.48006E+12
"1524 Newton St NW, Washington, DC 20010, USA",CE,GOOD,100,GOOD,R34033,FALSE,WMEEJ3BA4EK737418,-77.03596,38.93307,11/23/2016 3:30,1.4799E+12
"4537-4579 40th St NW, Washington, DC 20016, USA",CE,GOOD,37,GOOD,R33882,TRUE,WMEFJ5DA4GK139846,-77.07872,38.94923,11/29/2016 6:40,1.48043E+12
"303 Rittenhouse St NE, Washington, DC 20011, USA",CE,GOOD,48,GOOD,EZ4273,FALSE,WMEEJ3BA3EK767476,-77.00224,38.96493,11/17/2016 19:45,1.47944E+12
"5719 Blaine St NE, Washington, DC 20019, USA",CE,GOOD,68,GOOD,R33885,TRUE,WMEFJ5DA1GK139173,-76.92,38.89097,12/3/2016 4:05,1.48077E+12
"2936 McKinley St NW, Washington, DC 20015, USA",CE,GOOD,45,GOOD,EZ4381,FALSE,WMEEJ3BA0EK772036,-77.06045,38.96489,11/17/2016 13:35,1.47942E+12
"607 21st St NW, Washington, DC 20052",CE,GOOD,100,GOOD,EU6691,FALSE,WMEEJ3BA8EK763634,-77.0466,38.89774,11/8/2016 13:40,1.47864E+12
"836-838 Varnum St NW, Washington, DC 20011, USA",CE,GOOD,42,GOOD,EZ4228,FALSE,WMEEJ3BA4EK766594,-77.0247,38.94293,12/2/2016 21:10,1.48074E+12
"5007 Astor Pl SE, Washington, DC 20019, USA",CE,GOOD,75,GOOD,FE7288,FALSE,WMEEJ3BA5EK774008,-76.92969,38.88727,12/1/2016 2:45,1.48059E+12
"26th Street South, Arlington, 22202",CE,GOOD,96,GOOD,EZ4367,FALSE,WMEEJ3BA5EK775269,-77.05093,38.85004,11/28/2016 5:40,1.48034E+12
"900-934 4th St NE, Washington, DC 20002, USA",CE,GOOD,45,GOOD,EZ4361,FALSE,WMEEJ3BA6EK773384,-77.00058,38.90177,11/25/2016 5:35,1.48008E+12
"3961-3977 Wilson Blvd, Arlington, VA 22203, USA",CE,GOOD,100,GOOD,EZ4396,FALSE,WMEEJ3BA5EK773456,-77.1071,38.88002,11/30/2016 19:05,1.48056E+12
"1301-1307 Levis St NE, Washington, DC 20002, USA",CE,GOOD,100,GOOD,EK6786,FALSE,WMEEJ3BA8DK622772,-76.98463,38.90493,11/14/2016 16:15,1.47917E+12
"902 Butternut St NW, Washington, DC 20012, USA",CE,GOOD,24,GOOD,EW7195,FALSE,WMEEJ3BAXEK761674,-77.02599,38.97357,11/23/2016 16:30,1.47995E+12
"2401-2499 Douglas St NE, Washington, DC 20018, USA",CE,GOOD,56,GOOD,R34148,TRUE,WMEFJ5DA4GK140110,-76.97172,38.92342,12/3/2016 12:00,1.4808E+12
"2021 1st St NW, Washington, DC 20001, USA",CE,GOOD,96,GOOD,EC0009,FALSE,WMEEJ3BA9DK625647,-77.01212,38.91759,11/20/2016 6:15,1.47965E+12
"1915 North Harrison Street, Arlington, 22207",CE,GOOD,96,GOOD,R33879,TRUE,WMEFJ5DA3GK138803,-77.13234,38.8916,11/10/2016 19:50,1.47884E+12
"1534-1564 S Joyce St, Arlington, VA 22202, USA",CE,GOOD,60,GOOD,EU6692,FALSE,WMEEJ3BA7EK762295,-77.06342,38.85991,11/25/2016 14:15,1.48011E+12
"1766 Lyman Pl NE, Washington, DC 20002, USA",CE,GOOD,96,GOOD,EZ4239,FALSE,WMEEJ3BA6EK767956,-76.97692,38.90497,11/30/2016 18:15,1.48056E+12
"2615 Randolph St NE, Washington, DC 20018, USA",CE,GOOD,100,GOOD,EZ4251,FALSE,WMEEJ3BA1EK762325,-76.96923,38.93776,11/17/2016 22:00,1.47945E+12
"439 15th St SE, Washington, DC 20003, USA",CE,GOOD,100,GOOD,EZ4228,FALSE,WMEEJ3BA4EK766594,-76.98369,38.88309,11/18/2016 17:55,1.47952E+12
"1346-1350 Kalmia Rd NW, Washington, DC 20012, USA",CE,GOOD,40,GOOD,EF6588,TRUE,WMEFJ5DAXGK139401,-77.03202,38.98486,11/24/2016 21:25,1.48005E+12
"3602 John McCormack Dr NE, Washington, DC 20017, USA",CE,GOOD,66,GOOD,EU6677,FALSE,WMEEJ3BA1EK748358,-76.99583,38.93544,11/13/2016 15:55,1.47908E+12
"1361 Oak St NW, Washington, DC 20010, USA",CE,GOOD,100,GOOD,EZ4262,FALSE,WMEEJ3BA6EK748677,-77.03195,38.93389,11/14/2016 2:35,1.47912E+12
"4644-4808 Rockwood Pkwy NW, Washington, DC 20016, USA",CE,GOOD,30,GOOD,EZ4394,FALSE,WMEEJ3BA6EK776074,-77.09067,38.93452,11/15/2016 14:35,1.47925E+12
"4201 Wilson Blvd, Arlington, VA 22203, USA",CE,GOOD,100,GOOD,EZ4349,FALSE,WMEEJ3BA0EK768438,-77.11077,38.87997,12/2/2016 21:40,1.48074E+12
"5924 Arlington Blvd, Arlington, VA 22204, USA",CE,GOOD,69,GOOD,EU6695,FALSE,WMEEJ3BA2EK762088,-77.13488,38.86588,11/28/2016 21:15,1.4804E+12
"1255-1269 25th St NW, Washington, DC 20037",CE,GOOD,51,GOOD,EZ4352,FALSE,WMEEJ3BA8EK770826,-77.05324,38.90665,11/9/2016 18:55,1.47875E+12
"6622 5th St NW, Washington, DC 20012, USA",CE,GOOD,100,GOOD,R34048,FALSE,WMEEJ3BA8EK737776,-77.01994,38.97075,11/28/2016 16:30,1.48038E+12
"3103-3105 Macomb St NW, Washington, DC 20008, USA",CE,GOOD,36,GOOD,EZ4273,FALSE,WMEEJ3BA3EK767476,-77.06205,38.93358,11/20/2016 10:25,1.47967E+12
"1601-1699 Florida Ave NW, Washington, DC 20009, USA",CE,GOOD,45,GOOD,EZ4237,FALSE,WMEEJ3BA2EK769106,-77.03779,38.91879,11/28/2016 0:35,1.48032E+12
"217 Longfellow St NW, Washington, DC 20011, USA",CE,GOOD,71,GOOD,EF6556,TRUE,WMEFJ5DA2GK139392,-77.01466,38.95766,12/1/2016 2:55,1.48059E+12
